# mRange,cKinked,Period
1.319534712925432451e+00,9.383898949198232753e-01,1.000000000000000000e+00
1.329534712925432460e+00,9.402331404642311208e-01,1.000000000000000000e+00
1.339534712925432469e+00,9.420763860086388553e-01,1.000000000000000000e+00
1.349534712925432478e+00,9.439233354110524443e-01,1.000000000000000000e+00
1.359534712925432487e+00,9.457802878135564972e-01,1.000000000000000000e+00
1.369534712925432496e+00,9.476372402160605501e-01,1.000000000000000000e+00
1.379534712925432505e+00,9.494941926185644920e-01,1.000000000000000000e+00
1.389534712925432514e+00,9.513511450210685449e-01,1.000000000000000000e+00
1.399534712925432522e+00,9.532080974235727089e-01,1.000000000000000000e+00
1.409534712925432531e+00,9.550650498260767618e-01,1.000000000000000000e+00
1.419534712925432540e+00,9.569220022285807037e-01,1.000000000000000000e+00
1.429534712925432549e+00,9.587789546310847566e-01,1.000000000000000000e+00
1.439534712925432558e+00,9.606359070335888095e-01,1.000000000000000000e+00
1.449534712925432567e+00,9.624928594360928624e-01,1.000000000000000000e+00
1.459534712925432576e+00,9.643498118385970264e-01,1.000000000000000000e+00
1.469534712925432585e+00,9.661129163021480171e-01,1.000000000000000000e+00
1.479534712925432371e+00,9.678361863203976956e-01,1.000000000000000000e+00
1.489534712925432602e+00,9.695594563386472631e-01,1.000000000000000000e+00
1.499534712925432833e+00,9.712827263568969416e-01,1.000000000000000000e+00
1.509534712925432620e+00,9.730059963751465091e-01,1.000000000000000000e+00
1.519534712925432407e+00,9.747292663933961876e-01,1.000000000000000000e+00
1.529534712925432638e+00,9.764525364116458661e-01,1.000000000000000000e+00
1.539534712925432869e+00,9.781758064298954336e-01,1.000000000000000000e+00
1.549534712925432656e+00,9.798990764481450011e-01,1.000000000000000000e+00
1.559534712925432443e+00,9.816223464663945686e-01,1.000000000000000000e+00
1.569534712925432673e+00,9.833456164846442471e-01,1.000000000000000000e+00
1.579534712925432904e+00,9.850688865028938146e-01,1.000000000000000000e+00
1.589534712925432691e+00,9.867677136267334337e-01,1.000000000000000000e+00
1.599534712925432478e+00,9.883521912733364001e-01,1.000000000000000000e+00
1.609534712925432709e+00,9.899366689199396996e-01,1.000000000000000000e+00
1.619534712925432940e+00,9.915211465665427770e-01,1.000000000000000000e+00
1.629534712925432727e+00,9.931056242131458545e-01,1.000000000000000000e+00
1.639534712925432514e+00,9.946901018597489319e-01,1.000000000000000000e+00
1.649534712925432745e+00,9.962745795063518983e-01,1.000000000000000000e+00
1.659534712925432975e+00,9.978590571529550868e-01,1.000000000000000000e+00
1.669534712925432762e+00,9.994435347995581642e-01,1.000000000000000000e+00
1.679534712925432549e+00,1.001028012446161242e+00,1.000000000000000000e+00
1.689534712925432780e+00,1.002612490092764208e+00,1.000000000000000000e+00
1.699534712925433011e+00,1.004196967739367397e+00,1.000000000000000000e+00
1.709534712925432798e+00,1.005781445385970363e+00,1.000000000000000000e+00
1.719534712925432585e+00,1.007365923032573551e+00,1.000000000000000000e+00
1.729534712925432816e+00,1.008900760114571860e+00,1.000000000000000000e+00
1.739534712925433046e+00,1.010399433369105537e+00,1.000000000000000000e+00
1.749534712925432833e+00,1.011898106623639215e+00,1.000000000000000000e+00
1.759534712925432620e+00,1.013396779878173115e+00,1.000000000000000000e+00
1.769534712925432851e+00,1.014895453132706793e+00,1.000000000000000000e+00
1.779534712925433082e+00,1.016394126387240693e+00,1.000000000000000000e+00
1.789534712925432869e+00,1.017892799641774371e+00,1.000000000000000000e+00
1.799534712925432656e+00,1.019391472896308048e+00,1.000000000000000000e+00
1.809534712925432887e+00,1.020890146150841948e+00,1.000000000000000000e+00
1.819534712925433118e+00,1.022388819405375626e+00,1.000000000000000000e+00
1.829534712925432904e+00,1.023887492659909526e+00,1.000000000000000000e+00
1.839534712925432691e+00,1.025386165914443204e+00,1.000000000000000000e+00
1.849534712925432922e+00,1.026884839168976882e+00,1.000000000000000000e+00
1.859534712925433153e+00,1.028383512423510782e+00,1.000000000000000000e+00
1.869534712925432940e+00,1.029882185678044459e+00,1.000000000000000000e+00
1.879534712925432727e+00,1.031344075848533492e+00,1.000000000000000000e+00
1.889534712925432958e+00,1.032788346019589465e+00,1.000000000000000000e+00
1.899534712925433189e+00,1.034232616190645215e+00,1.000000000000000000e+00
1.909534712925432975e+00,1.035676886361700966e+00,1.000000000000000000e+00
1.919534712925432762e+00,1.037121156532756716e+00,1.000000000000000000e+00
1.929534712925432993e+00,1.038565426703812467e+00,1.000000000000000000e+00
1.939534712925433224e+00,1.040009696874868217e+00,1.000000000000000000e+00
1.949534712925433011e+00,1.041453967045923967e+00,1.000000000000000000e+00
1.959534712925432798e+00,1.042898237216979718e+00,1.000000000000000000e+00
1.969534712925433029e+00,1.044342507388035468e+00,1.000000000000000000e+00
1.979534712925433260e+00,1.045786777559091218e+00,1.000000000000000000e+00
1.989534712925433046e+00,1.047231047730146969e+00,1.000000000000000000e+00
1.999534712925432833e+00,1.048675317901202719e+00,1.000000000000000000e+00
2.009534712925432842e+00,1.050119588072258470e+00,1.000000000000000000e+00
2.019534712925433517e+00,1.051563858243314442e+00,1.000000000000000000e+00
2.029534712925433304e+00,1.053008128414370193e+00,1.000000000000000000e+00
2.039534712925433091e+00,1.054441928014050900e+00,1.000000000000000000e+00
2.049534712925432878e+00,1.055840519335238259e+00,1.000000000000000000e+00
2.059534712925433553e+00,1.057239110656425618e+00,1.000000000000000000e+00
2.069534712925433340e+00,1.058637701977612977e+00,1.000000000000000000e+00
2.079534712925433126e+00,1.060036293298800336e+00,1.000000000000000000e+00
2.089534712925432913e+00,1.061434884619987695e+00,1.000000000000000000e+00
2.099534712925433588e+00,1.062833475941175054e+00,1.000000000000000000e+00
2.109534712925433375e+00,1.064232067262362413e+00,1.000000000000000000e+00
2.119534712925433162e+00,1.065630658583549994e+00,1.000000000000000000e+00
2.129534712925432949e+00,1.067029249904737132e+00,1.000000000000000000e+00
2.139534712925433624e+00,1.068427841225924713e+00,1.000000000000000000e+00
2.149534712925433411e+00,1.069826432547112072e+00,1.000000000000000000e+00
2.159534712925433197e+00,1.071225023868299431e+00,1.000000000000000000e+00
2.169534712925432984e+00,1.072623615189486790e+00,1.000000000000000000e+00
2.179534712925433659e+00,1.074022206510674149e+00,1.000000000000000000e+00
2.189534712925433446e+00,1.075420797831861730e+00,1.000000000000000000e+00
2.199534712925433233e+00,1.076819389153048867e+00,1.000000000000000000e+00
2.209534712925433020e+00,1.078217980474236226e+00,1.000000000000000000e+00
2.219534712925433695e+00,1.079616571795423807e+00,1.000000000000000000e+00
2.229534712925433482e+00,1.080972613495632784e+00,1.000000000000000000e+00
2.239534712925433269e+00,1.082328520824030305e+00,1.000000000000000000e+00
2.249534712925433055e+00,1.083684428152427603e+00,1.000000000000000000e+00
2.259534712925433730e+00,1.085040335480825346e+00,1.000000000000000000e+00
2.269534712925433517e+00,1.086396242809222867e+00,1.000000000000000000e+00
2.279534712925433304e+00,1.087752150137620388e+00,1.000000000000000000e+00
2.289534712925433091e+00,1.089108057466017909e+00,1.000000000000000000e+00
2.299534712925433766e+00,1.090463964794415652e+00,1.000000000000000000e+00
2.309534712925433553e+00,1.091819872122813173e+00,1.000000000000000000e+00
2.319534712925433340e+00,1.093175779451210694e+00,1.000000000000000000e+00
2.329534712925433126e+00,1.094531686779608215e+00,1.000000000000000000e+00
2.339534712925433801e+00,1.095887594108005736e+00,1.000000000000000000e+00
2.349534712925433588e+00,1.097243501436403257e+00,1.000000000000000000e+00
2.359534712925433375e+00,1.098599408764800778e+00,1.000000000000000000e+00
2.369534712925433162e+00,1.099955316093198299e+00,1.000000000000000000e+00
2.379534712925433837e+00,1.101311223421595820e+00,1.000000000000000000e+00
2.389534712925433624e+00,1.102667130749993341e+00,1.000000000000000000e+00
2.399534712925433411e+00,1.104023038078390861e+00,1.000000000000000000e+00
2.409534712925433197e+00,1.105378945406788604e+00,1.000000000000000000e+00
2.419534712925433872e+00,1.106734852735186125e+00,1.000000000000000000e+00
2.429534712925433659e+00,1.108062907482104675e+00,1.000000000000000000e+00
2.439534712925433446e+00,1.109379311136279966e+00,1.000000000000000000e+00
2.449534712925433233e+00,1.110695714790455257e+00,1.000000000000000000e+00
2.459534712925433908e+00,1.112012118444630770e+00,1.000000000000000000e+00
2.469534712925433695e+00,1.113328522098806062e+00,1.000000000000000000e+00
2.479534712925433482e+00,1.114644925752981575e+00,1.000000000000000000e+00
2.489534712925433269e+00,1.115961329407156866e+00,1.000000000000000000e+00
2.499534712925433944e+00,1.117277733061332157e+00,1.000000000000000000e+00
2.509534712925433730e+00,1.118594136715507670e+00,1.000000000000000000e+00
2.519534712925433517e+00,1.119910540369682961e+00,1.000000000000000000e+00
2.529534712925433304e+00,1.121226944023858252e+00,1.000000000000000000e+00
2.539534712925433979e+00,1.122543347678033765e+00,1.000000000000000000e+00
2.549534712925433766e+00,1.123859751332209056e+00,1.000000000000000000e+00
2.559534712925433553e+00,1.125176154986384347e+00,1.000000000000000000e+00
2.569534712925433340e+00,1.126492558640559860e+00,1.000000000000000000e+00
2.579534712925434015e+00,1.127808962294735373e+00,1.000000000000000000e+00
2.589534712925433801e+00,1.129125365948910664e+00,1.000000000000000000e+00
2.599534712925433588e+00,1.130441769603085955e+00,1.000000000000000000e+00
2.609534712925433375e+00,1.131758173257261246e+00,1.000000000000000000e+00
2.619534712925434050e+00,1.133074576911436759e+00,1.000000000000000000e+00
2.629534712925433837e+00,1.134390980565612050e+00,1.000000000000000000e+00
2.639534712925433624e+00,1.135707384219787341e+00,1.000000000000000000e+00
2.649534712925433411e+00,1.137022831838985670e+00,1.000000000000000000e+00
2.659534712925434086e+00,1.138303530053324852e+00,1.000000000000000000e+00
2.669534712925433872e+00,1.139584228267663812e+00,1.000000000000000000e+00
2.679534712925433659e+00,1.140864926482003217e+00,1.000000000000000000e+00
2.689534712925433446e+00,1.142145624696342177e+00,1.000000000000000000e+00
2.699534712925434121e+00,1.143426322910681359e+00,1.000000000000000000e+00
