# mRange,cKinked,cIRA,period
9.384350939527532631e-01,8.578107311675839952e-01,8.543249155172208953e-01,1.500000000000000000e+01
9.484350939527532720e-01,8.601804604840639357e-01,8.561646102555300342e-01,1.500000000000000000e+01
9.584350939527532809e-01,8.625501898005437651e-01,8.580043049938390620e-01,1.500000000000000000e+01
9.684350939527532898e-01,8.649199191170235945e-01,8.598439997321480899e-01,1.500000000000000000e+01
9.784350939527532987e-01,8.672896484335035350e-01,8.616836944704571177e-01,1.500000000000000000e+01
9.884350939527533075e-01,8.690874434598001574e-01,8.635233892087663676e-01,1.500000000000000000e+01
9.984350939527533164e-01,8.707462393819640489e-01,8.653630839470753955e-01,1.500000000000000000e+01
1.008435093952753325e+00,8.724050353041279404e-01,8.672027786853844233e-01,1.500000000000000000e+01
1.018435093952753334e+00,8.740638312262918319e-01,8.690424734236934512e-01,1.500000000000000000e+01
1.028435093952753343e+00,8.757226271484558344e-01,8.708821681620024791e-01,1.500000000000000000e+01
1.038435093952753352e+00,8.773814230706198369e-01,8.727218629003116179e-01,1.500000000000000000e+01
1.048435093952753361e+00,8.790402189927837284e-01,8.745615576386207568e-01,1.500000000000000000e+01
1.058435093952753370e+00,8.806990149149476199e-01,8.764012523769297847e-01,1.500000000000000000e+01
1.068435093952753379e+00,8.823578108371115114e-01,8.782409471152388125e-01,1.500000000000000000e+01
1.078435093952753387e+00,8.840166067592754029e-01,8.800806418535478404e-01,1.500000000000000000e+01
1.088435093952753396e+00,8.856754026814394054e-01,8.819203365918568682e-01,1.500000000000000000e+01
1.098435093952753405e+00,8.873012938030683250e-01,8.837600313301660071e-01,1.500000000000000000e+01
1.108435093952753414e+00,8.888379052010134673e-01,8.855997260684751460e-01,1.500000000000000000e+01
1.118435093952753423e+00,8.903745165989587207e-01,8.874394208067841738e-01,1.500000000000000000e+01
1.128435093952753432e+00,8.919111279969038630e-01,8.892791155450932017e-01,1.500000000000000000e+01
1.138435093952753441e+00,8.934477393948490054e-01,8.909259201842006926e-01,1.500000000000000000e+01
1.148435093952753450e+00,8.949843507927943698e-01,8.924484594238407675e-01,1.500000000000000000e+01
1.158435093952753459e+00,8.965209621907395121e-01,8.939709986634809535e-01,1.500000000000000000e+01
1.168435093952753467e+00,8.980575735886846545e-01,8.954935379031210285e-01,1.500000000000000000e+01
1.178435093952753476e+00,8.995941849866297968e-01,8.970160771427611035e-01,1.500000000000000000e+01
1.188435093952753485e+00,9.011307963845750502e-01,8.985386163824012895e-01,1.500000000000000000e+01
1.198435093952753494e+00,9.026674077825201925e-01,9.000611556220414755e-01,1.500000000000000000e+01
1.208435093952753503e+00,9.042040191804654459e-01,9.015836948616815505e-01,1.500000000000000000e+01
1.218435093952753512e+00,9.057406305784105882e-01,9.031062341013216255e-01,1.500000000000000000e+01
1.228435093952753521e+00,9.072612699364079880e-01,9.046287733409618115e-01,1.500000000000000000e+01
1.238435093952753530e+00,9.087638279991087087e-01,9.061513125806019975e-01,1.500000000000000000e+01
1.248435093952753538e+00,9.102663860618092073e-01,9.076738518202420725e-01,1.500000000000000000e+01
1.258435093952753547e+00,9.117689441245098170e-01,9.091963910598821474e-01,1.500000000000000000e+01
1.268435093952753556e+00,9.132715021872104266e-01,9.107189302995224445e-01,1.500000000000000000e+01
1.278435093952753565e+00,9.147740602499110363e-01,9.122414695391625195e-01,1.500000000000000000e+01
1.288435093952753574e+00,9.162766183126116459e-01,9.137640087788025944e-01,1.500000000000000000e+01
1.298435093952753583e+00,9.177791763753122556e-01,9.152865480184427804e-01,1.500000000000000000e+01
1.308435093952753592e+00,9.192817344380126432e-01,9.168090872580828554e-01,1.500000000000000000e+01
1.318435093952753601e+00,9.207842925007133639e-01,9.183316264977230414e-01,1.500000000000000000e+01
1.328435093952753610e+00,9.222868505634138625e-01,9.198541657373632274e-01,1.500000000000000000e+01
1.338435093952753618e+00,9.237894086261145832e-01,9.213767049770033024e-01,1.500000000000000000e+01
1.348435093952753627e+00,9.252919666888150818e-01,9.228992442166434884e-01,1.500000000000000000e+01
1.358435093952753636e+00,9.267945247515155804e-01,9.244217834562835634e-01,1.500000000000000000e+01
1.368435093952753645e+00,9.282941985844930244e-01,9.259443226959236384e-01,1.500000000000000000e+01
